iter	Passed	Remaining
0	1	140
1	2	120
2	3	108
3	4	106
4	5	104
5	6	101
6	7	99
7	8	96
8	9	94
9	10	93
10	11	91
11	12	90
12	13	87
13	14	86
14	14	84
15	15	83
16	16	82
17	18	82
18	19	81
19	19	79
20	20	78
21	21	77
22	22	76
23	23	75
24	24	73
25	25	72
26	26	72
27	27	70
28	28	69
29	29	68
30	30	67
31	31	66
32	32	65
33	33	64
34	34	63
35	35	62
36	36	61
37	37	60
38	38	59
39	38	58
40	39	57
41	40	55
42	41	54
43	42	53
44	43	52
45	43	51
46	45	50
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	52	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	26
72	70	25
73	71	24
74	72	24
75	73	23
76	74	22
77	75	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	91	4
95	92	3
96	92	2
97	93	1
98	94	0
99	95	0
